,USDT_BTC_c,USDT_BTC_v,USDT_ETH_c,USDT_ETH_v,USDT_QTUM_c,USDT_QTUM_v,USDT_XRP_c,USDT_XRP_v,USDT_STR_c,USDT_STR_v,USDT_LTC_c,USDT_LTC_v,USDT_BCHABC_c,USDT_BCHABC_v,USDT_ZEC_c,USDT_ZEC_v,USDT_DASH_c,USDT_DASH_v,USDT_EOS_c,USDT_EOS_v,USDC_BTC_c,USDC_BTC_v,BTC_ETH_c,BTC_ETH_v,BTC_LTC_c,BTC_LTC_v,BTC_XRP_c,BTC_XRP_v,ETH_EOS_c,ETH_EOS_v,ETH_ZEC_c,ETH_ZEC_v,ETH_ETC_c,ETH_ETC_v,XMR_LTC_c,XMR_LTC_v,XMR_ZEC_c,XMR_ZEC_v,XMR_DASH_c,XMR_DASH_v
2135,8132.30462138,13020.72480274,256.03007139,82622.33300287,3.23,49.99999999,0.39912462,10879.25730825,0.12643929,1121.90230594,140.5713,6045.69251667,322.73533452,0.0,88.5301231,3040.79931286,150.17769764,6.60028739,6.44483976,8178.50165544,8166.99997982,4708.37452681,0.03155262,3.89692104,0.01731341,3.10777746,4.921e-05,2.60501658,0.02485502,0.05834939,0.34397662,0.00199275,0.03367346,2.68144542,1.57333503,0.03440325,0.99048543,10.77880505,1.6832591,0.0
2136,8130.64911718,5172.83634974,256.88999987,21155.67576562,3.23,0.0,0.39828043,227.39610479,0.12672834,2223.50829107,141.02427873,11025.49282714,322.73533452,0.0,88.1727161,10253.92542177,150.99998991,9883.4993398,6.38592476,1084.47994821,8193.89930401,3550.66589748,0.03162999,3.81051569,0.01731,2.74809135,4.924e-05,0.34385135,0.02485502,0.0,0.34397662,0.0,0.03367346,0.0,1.57333503,0.0,0.99048543,0.0,1.683259,14.81870457
2137,8088.0050987,68590.33474223,255.03736668,20126.84896546,3.1872884,560.48257978,0.3990775,5644.8165223,0.12672834,0.0,136.849497,41259.5746961,322.73533452,0.0,88.74472881,1294.27805115,149.09090909,99.82028989,6.35616705,5171.53558095,8155.95295123,4172.70369594,0.03151569,2.69869749,0.01697988,21.75853196,4.912e-05,3.10415923,0.02485087,0.00218687,0.34876535,1.15080788,0.0332653,0.21259543,1.54179248,1.34316611,0.984,15.09696684,1.6832,10.77438782
2138,8094.04940398,11311.32863629,255.68000013,8740.26763309,3.1872884,0.0,0.39899881,7234.39691488,0.12615389,274.91210762,137.04139846,7892.38783619,324.43459645,121.00715184,90.55557945,13746.39642384,149.09090909,0.0,6.33971141,2071.705195,8159.55652345,7201.31022206,0.03159181,0.41141454,0.01692999,7.48244388,4.912e-05,0.74361084,0.02485087,0.0,0.3551362,18.87997372,0.03367346,0.20182231,1.54179248,0.0,1.01511679,236.43751889,1.6832,0.0
2139,8091.61768277,34600.38584014,255.30796405,16516.88447295,3.1872884,26.78037665,0.39775442,8025.93596675,0.1254,299.9999376,135.8225325,66070.95441692,324.43459645,0.0,88.21730682,27318.82661115,149.09090909,0.0,6.33516887,8454.1634126,8164.42725851,7679.51616253,0.03156984,2.47198396,0.01675015,23.42972395,4.895e-05,5.18984646,0.0246823,0.44522151,0.347425,10.52452763,0.03367346,0.0,1.51411928,4.47725664,0.99571748,0.43294486,1.6832,0.0
2140,8106.048237,4088.23896897,255.20092287,17592.36356443,3.1872884,0.0,0.39645965,10655.65517775,0.12615231,999.99944511,137.12135026,10549.46865828,324.43459645,0.0,90.49429204,2648.23518352,149.39220361,1045.74551376,6.34322301,999.99999206,8148.81919022,82516.34329912,0.03159105,3.87148111,0.01688008,8.22968055,4.911e-05,1.30379742,0.02465146,0.02685011,0.35266249,2.06375516,0.03346938,0.10060443,1.52695006,0.00574145,1.00797503,0.9443227,1.6832,0.0
2141,8099.91233288,29602.66026997,255.5,22078.69746556,3.1872884,0.0,0.39651488,1713.83062425,0.12604892,796.22947439,136.07021283,232012.33132841,324.43459645,0.0,89.68636904,1608.80748713,149.63140282,1107.81509097,6.34322271,2.99999996,8159.66159649,261.82990509,0.03157503,2.32864996,0.01686751,4.02584228,4.91e-05,0.26620174,0.02472758,3.88159361,0.35224742,20.28802943,0.03346938,0.0,1.53458482,0.00287071,1.00797503,0.0,1.6832,0.0
2142,8118.19140892,34041.02441557,256.65091828,2719.50546531,3.1872884,0.0,0.39876497,342.71841164,0.12581924,149.54222166,137.29961682,33371.28061335,324.43459645,0.0,90.71255959,1885.12414794,149.63140282,0.0,6.34322271,0.0,8160.0,209.2642015,0.031655,1.4565108,0.0168432,88.9658498,4.905e-05,1.01241697,0.02472758,0.0,0.35442581,0.52098225,0.03326979,0.1013088,1.53458482,0.10491447,1.01301491,0.00287639,1.6832,0.0
2143,8109.15334057,157813.92156222,256.15797211,206.00477362,3.1872884,0.0,0.39680029,1134.27977109,0.12615059,76.18208577,137.29999987,8713.14703163,324.43459645,0.0,89.60591755,1570.54963186,149.63140282,0.0,6.35158549,138.79998122,8145.69696901,1166.67771951,0.03160505,1.41589338,0.016904,6.3200237,4.908e-05,0.44618476,0.02472758,0.0,0.35266249,11.02815245,0.03327024,0.03332258,1.53458482,0.0,1.01451199,34.43651916,1.6832,0.0
2144,8115.28257416,43948.41628689,255.7565876,2958.64954557,3.1872884,0.0,0.39934197,1942.19446587,0.12607735,2806.33218496,137.2,3866.30663062,324.43459645,0.0,90.39758927,1537.99259221,150.75061461,99.94765748,6.34587023,1.65944506,8159.99996,13332.04219075,0.03152,1.1581044,0.01690506,5.46312543,4.902e-05,0.98025412,0.02472758,0.0,0.34916213,0.03949639,0.03362479,5.15469343,1.53458482,0.0,1.00254668,0.03338153,1.6832,0.0
